Code,Name,Descrption,Note,Quantity,Man-Hours,Total Man-Hours
1000 010.200.030.000,Shop Visit/FAT,PM - Field Work - Shop Visit/FAT,Project Management - Field Work - Shop Visit/FAT,2,0,0
1000 010.200.040.000,Startup/Commissioning,PM - Field Work - Startup/Commissioning,Project Management - Field Work - Startup/Commissioning,1,0,0
1000 010.200.050.000,Project Site Trip,PM - Field Work - Proj Site Trip,Project Management - Field Work - Project Site Trip,4,0,0
1000 010.200.060.000,Client Office Trip,PM - Field Work - Client Office Trip,Project Management - Field Work - Client Office Trip,2,10,20
1000 020.000.000.000,Project Support,Proj Supp,Project Support,0,0,0
1000 020.040.000.000,Procurement Support,PROJ SUPP - Procurement Supp,Project Support - Procurement Support,0,0,0
1000 020.040.010.000,Clarification Support,PROJ SUPP - Procurement Supp - Clarification Supp,Project Support - Procurement Support - Clarification Support,1,0,0
1000 020.040.020.000,PO/CO Support,PROJ SUPP - Procurement Supp - PO/CO Supp,Project Support - Procurement Support - PO/CO Support,1,0,0
1000 020.040.030.000,Specialty/Other,PROJ SUPP - Procurement Supp - Specialty/Other,Project Support - Procurement Support - Specialty/Other,1,0,0
1000 020.050.000.000,Expediting Support,PROJ SUPP - Expediting Supp,Project Support - Expediting Support,0,0,0
1000 020.050.010.000,Expediting Support,PROJ SUPP - Expediting - Expediting Supp,Project Support - Expediting Support,1,0,0
1000 020.050.020.000,Material Handling/Shipping Support,PROJ SUPP - Expediting - Material Handling/Shipping Supp,Project Support - Expediting Support - Material Handling/Shipping Support,1,0,0
1000 020.050.030.000,Vendor Site Support,PROJ SUPP - Expediting - Vendor Site Supp,Project Support - Expediting Support - Vendor Site Support,1,0,0
1000 020.050.990.000,Specialty/Other,PROJ SUPP - Expediting - Specialty/Other,Project Support - Expediting Support - Specialty/Other,1,0,0
1000 020.060.000.000,Inspection Support,PROJ SUPP - Inspection Supp,Project Support - Inspection Support,0,0,0
1000 020.060.010.000,Inspection Selection Support of 3rd Party,PROJ SUPP - Inspection Selection Supp of 3rd Party,Project Support - Inspection Support - Inspection Selection Support of 3rd Party,1,0,0
1000 020.060.020.000,Inspection Coordination Support,PROJ SUPP - Inspection Coord Supp,Project Support - Inspection Support - Inspection Coordination Support,1,0,0
1000 020.060.030.000,Vendor Site Inspection Support,PROJ SUPP - Inspection - Vendor Site Inspection Supp,Project Support - Inspection Support - Vendor Site Inspection Support,1,0,0
1000 020.060.990.000,Specialty/Other,PROJ SUPP - Inspection - Specialty/Other,Project Support - Inspection Support - Specialty/Other,0,0,0
1000 020.070.000.000,Document Control Support,PROJ SUPP - Doc Cntrl Supp,Project Support - Document Control Support,0,0,0
1000 020.070.010.000,Document Drawer Register,PROJ SUPP - Doc Ctrl - Doc Drawer Register,Project Support - Document Control Support - Document Drawer Register,1,0,0
1000 020.070.020.000,Document Control - Internally Generated Documents,PROJ SUPP - Doc Ctrl - Internally Generated Docs,Project Support - Document Control Support - Document Control - Internally Generated Documents,10,0,0
1000 020.070.030.000,Document Control - Externally Generated Documents,PROJ SUPP - Doc Ctrl - Externally Generated Docs,Project Support - Document Control Support - Document Control - Externally Generated Documents,10,0,0
1000 020.070.030.880,PROJ TOOLS - Project Tools Document Controls,PROJ SUPP - Doc Ctrl - PROJ TOOLS - Proj Tools Doc Cntrls,Project Support - Document Control Support - PROJ TOOLS - Project Tools Document Controls,1,0,0
1000 020.070.040.000,Project Data Books,PROJ SUPP - Doc Ctrl - Proj Data Books,Project Support - Document Control Support - Project Data Books,0,0,0
1000 020.070.990.000,Specialty/Other,PROJ SUPP - Doc Ctrl - Specialty/Other,Project Support - Document Control Support - Specialty/Other,0,0,0
1000 020.100.000.000,Administrative,PROJ SUPP - Administrative,Project Support - Administrative,0,0,0
1000 020.100.070.000,Quality Audits,PROJ SUPP - Admin - Quality Audits,Project Support - Administrative - Quality Audits,1,0,0
1000 020.100.990.000,Specialty/Other,PROJ SUPP - Admin - Specialty/Other,Project Support - Administrative - Specialty/Other,1,0,0
1000 030.000.000.000,Project Controls,Proj Cntrls,Project Controls,0,0,0
1000 030.080.000.000,Project Cost Control Support,PROJ CTRL - Proj Cost Cntrl Supp,Project Controls - Project Cost Control Support,0,0,0
1000 030.080.010.000,Project Cost Estimate,PROJ CTRL - Proj Cost Estimate,Project Controls - Project Cost Control Support - Project Cost Estimate,1,10,10
1000 030.080.020.930, ICARUS - Project Cost Estimate,PROJ CTRL - ICARUS - Proj Cost Estimate,Project Controls - Project Cost Control Support -  ICARUS - Project Cost Estimate,1,0,0
1000 030.080.030.000,Project Assurance,PROJ CTRL - Proj Assurance,Project Controls - Project Cost Control Support - Project Assurance,1,0,0
1000 030.090.000.000,Project Schedule Support,PROJ CTRL - Proj Schedule Supp,Project Controls - Project Schedule Support,0,0,0
1000 030.090.010.000,Project Scheduling,PROJ CTRL - Proj Schedule - Proj Scheduling,Project Controls - Project Schedule Support - Project Scheduling,1,2,2
1000 030.090.020.810,PRIMAVERA - Project Scheduling,PROJ CTRL - Proj Schedule - PRIMAVERA - Proj Scheduling,Project Controls - Project Schedule Support - PRIMAVERA - Project Scheduling,1,2,2
1000 040.000.000.000,Civil/Structural Engineering and Design,Civil/Structural Eng and Design,Civil/Structural Engineering and Design,0,0,0
1000 040.110.000.000,Reports and Studies,C/S E&D - Reports and Studies,Civil/Structural Engineering and Design - Reports and Studies,0,0,0
1000 040.110.010.000,Design Criteria (Design Basis),C/S E&D - Reports/Studies - Design Criteria (Design Basis),Civil/Structural Engineering and Design - Reports and Studies - Design Criteria (Design Basis),1,0,0
1000 040.110.020.000,Topographic Survey,C/S E&D - Reports/Studies - Topo Survey,Civil/Structural Engineering and Design - Reports and Studies - Topographic Survey,0,0,0
1000 040.110.030.000,Geotechnical Investigation,C/S E&D - Reports/Studies - Geotech Report,Civil/Structural Engineering and Design - Reports and Studies - Geotechnical Investigation,0,0,0
1000 040.110.040.000,Permitting,C/S E&D - Reports/Studies - Permitting,Civil/Structural Engineering and Design - Reports and Studies - Permitting,1,0,0
1000 040.110.050.000,Engineering Study/Report - Steel,C/S E&D - Reports/Studies - Steel,Civil/Structural Engineering and Design - Reports and Studies - Engineering Study/Report - Steel,0,0,0
1000 040.110.060.000,Engineering Study/Report - Foundation/Concrete,C/S E&D - Reports/Studies - Fndn/Concr,Civil/Structural Engineering and Design - Reports and Studies - Engineering Study/Report - Foundation/Concrete,0,0,0
1000 040.110.070.000,Engineering Study/Report - Drainage Study,C/S E&D - Reports/Studies - Drainage Study,Civil/Structural Engineering and Design - Reports and Studies - Engineering Study/Report - Drainage Study,0,0,0
1000 040.110.080.000,Engineering Study/Report - Other,C/S E&D - Reports/Studies - Other,Civil/Structural Engineering and Design - Reports and Studies - Engineering Study/Report - Other,0,0,0
1000 040.110.090.000,Weight Control Report Assistance,C/S E&D - Reports/Studies - Weight Cntrl Report Assistance,Civil/Structural Engineering and Design - Reports and Studies - Weight Control Report Assistance,1,0,0
1000 040.110.100.000,CG Diagrams/Lifting Studies,C/S E&D - Reports/Studies - CG Diags/Lifting Studies,Civil/Structural Engineering and Design - Reports and Studies - CG Diagrams/Lifting Studies,0,0,0
1000 040.110.990.000,Specialty/Other,C/S E&D - Reports/Studies - Specialty/Other,Civil/Structural Engineering and Design - Reports and Studies - Specialty/Other,0,0,0
1000 040.120.000.000,Datasheets and Specifications,C/S E&D - Datasheets and Specs,Civil/Structural Engineering and Design - Datasheets and Specifications,0,0,0
1000 040.120.010.000,Structural Design Criteria,C/S E&D - Datasheets/Specs - Structural Design Criteria,Civil/Structural Engineering and Design - Datasheets and Specifications - Structural Design Criteria,0,0,0
1000 040.120.020.000,"Site Preparation, Excavation, and Backfill",C/S E&D - Datasheets/Specs - Site Prep/Excavation/Backfill,"Civil/Structural Engineering and Design - Datasheets and Specifications - Site Preparation, Excavation, and Backfill",0,0,0
1000 040.120.030.000,Structural and Miscellaneous Steel Design,C/S E&D - Datasheets/Specs - Structural and Steel Design,Civil/Structural Engineering and Design - Datasheets and Specifications - Structural and Miscellaneous Steel Design,0,0,0
1000 040.120.040.000,Structural and Miscellaneous Steel Fabrication ,C/S E&D - Datasheets/Specs - Structural and Steel Fab ,Civil/Structural Engineering and Design - Datasheets and Specifications - Structural and Miscellaneous Steel Fabrication ,0,0,0
1000 040.120.050.000,Structural and Miscellaneous Steel Erection,C/S E&D - Datasheets/Specs - Structural and Steel Erection,Civil/Structural Engineering and Design - Datasheets and Specifications - Structural and Miscellaneous Steel Erection,0,0,0
1000 040.120.060.000,Concrete,C/S E&D - Datasheets/Specs - Concr,Civil/Structural Engineering and Design - Datasheets and Specifications - Concrete,1,0,0
1000 040.120.070.000,Nonshrink Cementations Grout ,C/S E&D - Datasheets/Specs - Nonshrink Cementations Grout ,Civil/Structural Engineering and Design - Datasheets and Specifications - Nonshrink Cementations Grout ,0,0,0
1000 040.120.080.000,Epoxy Grout ,C/S E&D - Datasheets/Specs - Epoxy Grout ,Civil/Structural Engineering and Design - Datasheets and Specifications - Epoxy Grout ,0,0,0
1000 040.120.090.000,Environmental Criteria,C/S E&D - Datasheets/Specs - Enviro Criteria,Civil/Structural Engineering and Design - Datasheets and Specifications - Environmental Criteria,0,0,0
1000 040.120.100.000,Pre-Engineered Metal Buildings,C/S E&D - Datasheets/Specs - Pre-Engineered Metal Bldgs,Civil/Structural Engineering and Design - Datasheets and Specifications - Pre-Engineered Metal Buildings,0,0,0
1000 040.120.110.000,Roadway and Area Paving Construction,C/S E&D - Datasheets/Specs - Rdway and Area Paving Const,Civil/Structural Engineering and Design - Datasheets and Specifications - Roadway and Area Paving Construction,0,0,0
1000 040.120.120.000,Driven Piles,C/S E&D - Datasheets/Specs - Driven Piles,Civil/Structural Engineering and Design - Datasheets and Specifications - Driven Piles,0,0,0
1000 040.120.130.000,Augured Cast-in-Place Piles,C/S E&D - Datasheets/Specs - Augured Cast-in-Place Piles,Civil/Structural Engineering and Design - Datasheets and Specifications - Augured Cast-in-Place Piles,0,0,0
1000 040.120.140.000,Drilled Piers,C/S E&D - Datasheets/Specs - Drilled Piers,Civil/Structural Engineering and Design - Datasheets and Specifications - Drilled Piers,0,0,0
1000 040.120.150.000,General Specification - Other,C/S E&D - Datasheets/Specs - General Spec - Other,Civil/Structural Engineering and Design - Datasheets and Specifications - General Specification - Other,0,0,0
1000 040.120.980.000,Construction,C/S E&D - Datasheets/Specs - Const,Civil/Structural Engineering and Design - Datasheets and Specifications - Construction,1,0,0
1000 040.120.990.000,Specialty/Other,C/S E&D - Datasheets/Specs - Specialty/Other,Civil/Structural Engineering and Design - Datasheets and Specifications - Specialty/Other,0,0,0
1000 040.130.000.000,Calculations and Analysis,C/S E&D - Calculations and Analysis,Civil/Structural Engineering and Design - Calculations and Analysis,0,0,0
1000 040.130.010.000,Topographic Survey - Specify/Review,C/S E&D - Calcs/Analysis - Topo Survey - Specify/Review,Civil/Structural Engineering and Design - Calculations and Analysis - Topographic Survey - Specify/Review,0,0,0
1000 040.130.020.000,Geotechnical Investigation - Specify/Review,C/S E&D - Calcs/Analysis - Geotech Report - Specify/Review,Civil/Structural Engineering and Design - Calculations and Analysis - Geotechnical Investigation - Specify/Review,0,0,0
1000 040.130.030.000,Calculations - Civil/Site,C/S E&D - Calcs/Analysis - Calculations - Civil/Site,Civil/Structural Engineering and Design - Calculations and Analysis - Calculations - Civil/Site,1,0,0
1000 040.130.040.000,Drainage,C/S E&D - Calcs/Analysis - Drainage,Civil/Structural Engineering and Design - Calculations and Analysis - Drainage,0,0,0
1000 040.130.050.000,Paving/Roadway,C/S E&D - Calcs/Analysis - Paving/Rdway,Civil/Structural Engineering and Design - Calculations and Analysis - Paving/Roadway,0,0,0
1000 040.130.060.000,Equipment Foundations,C/S E&D - Calcs/Analysis - Equip Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Equipment Foundations,0,0,0
1000 040.130.070.000,Piperack Foundations,C/S E&D - Calcs/Analysis - Piperack Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Piperack Foundations,0,0,0
1000 040.130.080.000,Access Platform Foundations,C/S E&D - Calcs/Analysis - Access Pltfm Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Access Platform Foundations,0,0,0
1000 040.130.090.000,Building Foundations,C/S E&D - Calcs/Analysis - Bldg Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Building Foundations,1,0,0
1000 040.130.100.000,Compressor Foundations,C/S E&D - Calcs/Analysis - Compressor Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Compressor Foundations,0,0,0
1000 040.130.110.000,Dynamic Foundation Analysis,C/S E&D - Calcs/Analysis - Dynamic Fndn Analysis,Civil/Structural Engineering and Design - Calculations and Analysis - Dynamic Foundation Analysis,0,0,0
1000 040.130.120.000,Tank Foundations,C/S E&D - Calcs/Analysis - Tank Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Tank Foundations,0,0,0
1000 040.130.130.000,Pile Foundations,C/S E&D - Calcs/Analysis - Pile Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Pile Foundations,0,0,0
1000 040.130.140.000,Concrete Sleeper Supports,C/S E&D - Calcs/Analysis - Concr Sleeper Supps,Civil/Structural Engineering and Design - Calculations and Analysis - Concrete Sleeper Supports,0,0,0
1000 040.130.150.000,Other Foundations,C/S E&D - Calcs/Analysis - Other Fndns,Civil/Structural Engineering and Design - Calculations and Analysis - Other Foundations,0,0,0
1000 040.130.160.000,Building - Design,C/S E&D - Calcs/Analysis - Bldg - Design,Civil/Structural Engineering and Design - Calculations and Analysis - Building - Design,0,0,0
1000 040.130.170.000,Major Piperacks - Steel,C/S E&D - Calcs/Analysis - Major Piperacks - Steel,Civil/Structural Engineering and Design - Calculations and Analysis - Major Piperacks - Steel,0,0,0
1000 040.130.180.000,Minor Piperacks/Sleeper Racks - Steel,C/S E&D - Calcs/Analysis - Minor Piperacks/Sleepers - Steel,Civil/Structural Engineering and Design - Calculations and Analysis - Minor Piperacks/Sleeper Racks - Steel,0,0,0
1000 040.130.190.000,Piperack Bridges (Steel),C/S E&D - Calcs/Analysis - Piperack Brdgs (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Piperack Bridges (Steel),0,0,0
1000 040.130.200.000,Access Platforms (Steel),C/S E&D - Calcs/Analysis - Access Pltfms (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Access Platforms (Steel),0,0,0
1000 040.130.210.000,Elevated Equipment Supports (Steel),C/S E&D - Calcs/Analysis - Elevated Equip Supps (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Elevated Equipment Supports (Steel),0,0,0
1000 040.130.220.000,Pipe/Cable Tray Supports (Steel),C/S E&D - Calcs/Analysis - Pipe/Cable Tray Supps (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Pipe/Cable Tray Supports (Steel),0,0,0
1000 040.130.230.000,Stiles (Steel),C/S E&D - Calcs/Analysis - Stiles (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Stiles (Steel),0,0,0
1000 040.130.240.000,Monorail (Steel),C/S E&D - Calcs/Analysis - Monorail (Steel),Civil/Structural Engineering and Design - Calculations and Analysis - Monorail (Steel),0,0,0
1000 040.130.250.000,Shop Fabrication Drawing Review ,C/S E&D - Calcs/Analysis - Shop Fab Drawing Review ,Civil/Structural Engineering and Design - Calculations and Analysis - Shop Fabrication Drawing Review ,0,0,0
1000 040.130.260.000,Installation Aids,C/S E&D - Calcs/Analysis - Installation Aids,Civil/Structural Engineering and Design - Calculations and Analysis - Installation Aids,0,0,0
1000 040.130.270.000,Weight Control,C/S E&D - Calcs/Analysis - Weight Cntrl,Civil/Structural Engineering and Design - Calculations and Analysis - Weight Control,0,0,0
1000 040.130.280.990,Software - ALGOR,C/S E&D - Calcs/Analysis - Software - ALGOR,Civil/Structural Engineering and Design - Calculations and Analysis - Software - ALGOR,0,0,0
1000 040.130.290.800,Software - Foundation 3D,C/S E&D - Calcs/Analysis - Software - Fndn 3D,Civil/Structural Engineering and Design - Calculations and Analysis - Software - Foundation 3D,0,0,0
1000 040.130.300.950,Software - GRLWEAP,C/S E&D - Calcs/Analysis - Software - GRLWEAP,Civil/Structural Engineering and Design - Calculations and Analysis - Software - GRLWEAP,0,0,0
1000 040.130.310.790,Software - L-PILE,C/S E&D - Calcs/Analysis - Software - L-PILE,Civil/Structural Engineering and Design - Calculations and Analysis - Software - L-PILE,0,0,0
1000 040.130.320.780,Software - MAT3D,C/S E&D - Calcs/Analysis - Software - MAT3D,Civil/Structural Engineering and Design - Calculations and Analysis - Software - MAT3D,0,0,0
1000 040.130.330.860,Software - SACS,C/S E&D - Calcs/Analysis - Software - SACS,Civil/Structural Engineering and Design - Calculations and Analysis - Software - SACS,1,0,0
1000 040.130.340.830,Software - STAAD.Pro,C/S E&D - Calcs/Analysis - Software - STAAD.Pro,Civil/Structural Engineering and Design - Calculations and Analysis - Software - STAAD.Pro,1,0,0
1000 040.130.350.830,Software - STAAD.Pro Foundation Advance,C/S E&D - Calcs/Analysis - Software - STAAD.Pro Fndn,Civil/Structural Engineering and Design - Calculations and Analysis - Software - STAAD.Pro Foundation Advance,1,0,0
1000 040.130.360.740,Software - RAM Connection,C/S E&D - Calcs/Analysis - Software - RAM Connection,Civil/Structural Engineering and Design - Calculations and Analysis - Software - RAM Connection,0,0,0
1000 040.130.370.760,Software - Descon Brace,C/S E&D - Calcs/Analysis - Software - Descon Brace,Civil/Structural Engineering and Design - Calculations and Analysis - Software - Descon Brace,0,0,0
1000 040.130.380.750,Software - Dyna6 Foundation Analysis,C/S E&D - Calcs/Analysis - Software - Dyna6 Fndn,Civil/Structural Engineering and Design - Calculations and Analysis - Software - Dyna6 Foundation Analysis,0,0,0
1000 040.130.990.000,Specialty/Other,C/S E&D - Calcs/Analysis - Specialty/Other,Civil/Structural Engineering and Design - Calculations and Analysis - Specialty/Other,0,0,0
1000 040.140.000.000,Lists and Schedules ,C/S E&D - Lists and Schedules ,Civil/Structural Engineering and Design - Lists and Schedules ,0,0,0
1000 040.140.010.000,Material Take Off/BOM - Civil Cut and Fill,C/S E&D - Lists/Schedules - MTO/BOM - Civil Cut and Fill,Civil/Structural Engineering and Design - Lists and Schedules  - Material Take Off/BOM - Civil Cut and Fill,1,0,0
1000 040.140.020.000,Material Take Off/BOM - Concrete and Rebar,C/S E&D - Lists/Schedules - MTO/BOM - Concr and Rebar,Civil/Structural Engineering and Design - Lists and Schedules  - Material Take Off/BOM - Concrete and Rebar,0,0,0
1000 040.140.030.000,Material Take Off/BOM - Structural Steel,C/S E&D - Lists/Schedules - MTO/BOM - Structural Steel,Civil/Structural Engineering and Design - Lists and Schedules  - Material Take Off/BOM - Structural Steel,0,0,0
1000 040.140.990.000,Specialty/Other,C/S E&D - Lists/Schedules - Specialty/Other,Civil/Structural Engineering and Design - Lists and Schedules  - Specialty/Other,0,0,0
1000 040.150.000.000,Purchase Requisitions,C/S E&D - Purchase Requisitions,Civil/Structural Engineering and Design - Purchase Requisitions,0,0,0
1000 040.150.010.000,Steel,C/S E&D - Purchase Reqs - Steel,Civil/Structural Engineering and Design - Purchase Requisitions - Steel,0,0,0
1000 040.150.020.000,Concrete,C/S E&D - Purchase Reqs - Concr,Civil/Structural Engineering and Design - Purchase Requisitions - Concrete,1,0,0
1000 040.150.030.000,Buildings,C/S E&D - Purchase Reqs - Bldgs,Civil/Structural Engineering and Design - Purchase Requisitions - Buildings,0,0,0
1000 040.150.040.000,Construction,C/S E&D - Purchase Reqs - Const,Civil/Structural Engineering and Design - Purchase Requisitions - Construction,0,0,0
1000 040.150.990.000,Specialty/Other,C/S E&D - Purchase Reqs - Specialty/Other,Civil/Structural Engineering and Design - Purchase Requisitions - Specialty/Other,0,0,0
1000 040.160.000.010,Modeling,C/S E&D - Model,Civil/Structural Engineering and Design - Modeling,0,0,0
1000 040.160.010.770,ACAD - Civil Contours and Surfaces,C/S E&D - Model - ACAD - Civil Contours/Surfaces,Civil/Structural Engineering and Design - Modeling - ACAD - Civil Contours and Surfaces,0,0,0
1000 040.160.020.770,ACAD - Site/Plot Plan Backgrounds,C/S E&D - Model - ACAD - Site/Plot Plan Backgrounds,Civil/Structural Engineering and Design - Modeling - ACAD - Site/Plot Plan Backgrounds,0,0,0
1000 040.160.030.770,ACAD - Underground Drainage Components,C/S E&D - Model - ACAD - Undgrd Drainage Components,Civil/Structural Engineering and Design - Modeling - ACAD - Underground Drainage Components,0,0,0
1000 040.160.040.770,ACAD - Building Foundations,C/S E&D - Model - ACAD - Bldg Fndns,Civil/Structural Engineering and Design - Modeling - ACAD - Building Foundations,0,0,0
1000 040.160.050.770,ACAD - Equipment Foundations,C/S E&D - Model - ACAD - Equip Fndns,Civil/Structural Engineering and Design - Modeling - ACAD - Equipment Foundations,0,0,0
1000 040.160.060.770,ACAD - Piperack Foundations,C/S E&D - Model - ACAD - Piperack Fndns,Civil/Structural Engineering and Design - Modeling - ACAD - Piperack Foundations,0,0,0
1000 040.160.070.770,ACAD - Support Foundations,C/S E&D - Model - ACAD - Supp Fndns,Civil/Structural Engineering and Design - Modeling - ACAD - Support Foundations,0,0,0
1000 040.160.080.770,ACAD - Miscellaneous Foundations,C/S E&D - Model - ACAD - Misc Fndns,Civil/Structural Engineering and Design - Modeling - ACAD - Miscellaneous Foundations,0,0,0
1000 040.160.090.770,ACAD - Building Structures,C/S E&D - Model - ACAD - Bldg Struc,Civil/Structural Engineering and Design - Modeling - ACAD - Building Structures,1,0,0
1000 040.160.100.770,ACAD - Equipment Structures,C/S E&D - Model - ACAD - Equip Struc,Civil/Structural Engineering and Design - Modeling - ACAD - Equipment Structures,0,0,0
1000 040.160.110.770,ACAD - Piperack Structures,C/S E&D - Model - ACAD - Piperack Struc,Civil/Structural Engineering and Design - Modeling - ACAD - Piperack Structures,0,0,0
1000 040.160.120.770,ACAD - Support Structures,C/S E&D - Model - ACAD - Supp Struc,Civil/Structural Engineering and Design - Modeling - ACAD - Support Structures,0,0,0
1000 040.160.130.770,ACAD - Miscellaneous Structures,C/S E&D - Model - ACAD - Misc Struc,Civil/Structural Engineering and Design - Modeling - ACAD - Miscellaneous Structures,0,0,0
1000 040.160.140.770,ACAD - Access Platforms,C/S E&D - Model - ACAD - Access Pltfms,Civil/Structural Engineering and Design - Modeling - ACAD - Access Platforms,0,0,0
1000 040.160.150.730,PDMS - Civil Contours and Surfaces,C/S E&D - Model - PDMS - Civil Contours/Surfaces,Civil/Structural Engineering and Design - Modeling - PDMS - Civil Contours and Surfaces,1,0,0
1000 040.160.160.730,PDMS - Site/Plot Plan Backgrounds,C/S E&D - Model - PDMS - Site/Plot Plan Backgrounds,Civil/Structural Engineering and Design - Modeling - PDMS - Site/Plot Plan Backgrounds,0,0,0
